date,week_number,emails_sent,open_rate,opens,ctr,clicks,conversion_to_purchase,purchases,avg_order_value,revenue
04.01.2023,1,50458,0.2599,13115,0.0722,947,0.1468,138,3890,453532
11.01.2023,2,40062,0.2566,10278,0.0799,820,0.1581,129,4134,536948
18.01.2023,3,48901,0.281,13742,0.075,1030,0.1877,193,4173,719762
25.01.2023,4,51785,0.3061,15852,0.0765,1213,0.1535,186,4078,794485
01.02.2023,5,57389,0.277,15895,0.075,1191,0.1552,184,3626,605768
08.02.2023,6,47408,0.281,13320,0.0873,1162,0.1485,172,3615,718159
15.02.2023,7,45957,0.319,14660,0.0779,1142,0.1116,127,3616,423283
22.02.2023,8,47491,0.3022,14351,0.0727,1043,0.1495,155,3616,542396
01.03.2023,9,54577,0.2745,14983,0.0821,1230,0.1512,185,3202,640480
08.03.2023,10,51643,0.2897,14963,0.0719,1075,0.1993,214,3151,591317
15.03.2023,11,47351,0.2628,12442,0.079,983,0.1462,143,2879,421003
22.03.2023,12,52566,0.2545,13377,0.0682,912,0.156,142,2799,449432
29.03.2023,13,50485,0.2595,13102,0.0714,934,0.1493,139,3170,369828
05.04.2023,14,54843,0.207,11354,0.079,896,0.1266,113,3281,377641
12.04.2023,15,46489,0.2017,9376,0.0817,765,0.1729,132,3031,410516
19.04.2023,16,48361,0.2167,10480,0.0789,826,0.165,136,3313,485776
26.04.2023,17,48039,0.2008,9648,0.0774,746,0.1658,123,3278,353342
03.05.2023,18,42682,0.2224,9490,0.0765,725,0.1318,95,3192,263198
10.05.2023,19,51480,0.195,10038,0.0706,708,0.1781,126,3523,467051
17.05.2023,20,51305,0.1843,9456,0.0744,703,0.122,85,3894,340843
24.05.2023,21,50025,0.2436,12188,0.0757,922,0.1617,149,3714,567196
31.05.2023,22,48827,0.2138,10440,0.0833,869,0.1938,168,4158,722703
07.06.2023,23,42923,0.2257,9686,0.0797,772,0.1302,100,3427,319404
14.06.2023,24,47896,0.2034,9743,0.0692,674,0.1387,93,4197,399415
21.06.2023,25,48286,0.2298,11095,0.0796,883,0.152,134,4103,565898
28.06.2023,26,45988,0.2522,11599,0.0761,882,0.1399,123,4046,462073
