date,user_id,user_type,group,converted
05.03.2023,205687,new,control,0
05.03.2023,209943,old,control,0
05.03.2023,205335,old,control,0
05.03.2023,208750,new,treatment,0
05.03.2023,200367,old,control,0
05.03.2023,204933,old,control,0
05.03.2023,201612,new,treatment,0
05.03.2023,206531,old,control,0
05.03.2023,204700,new,treatment,0
05.03.2023,210072,old,treatment,0
05.03.2023,205077,old,control,0
05.03.2023,204599,old,control,0
05.03.2023,200147,new,control,0
05.03.2023,203776,old,treatment,0
05.03.2023,207569,old,control,0
05.03.2023,206219,old,control,0
05.03.2023,206387,new,control,0
05.03.2023,207999,new,control,0
05.03.2023,202021,old,control,0
05.03.2023,207438,old,treatment,1
05.03.2023,200508,new,treatment,0
05.03.2023,202569,old,control,0
05.03.2023,204850,old,treatment,0
05.03.2023,208170,old,treatment,0
05.03.2023,208112,new,treatment,0
05.03.2023,206857,old,control,0
05.03.2023,206407,old,control,0
05.03.2023,204458,new,treatment,0
05.03.2023,210184,old,treatment,0
05.03.2023,207095,old,control,0
05.03.2023,205785,old,control,0
05.03.2023,202841,new,control,0
05.03.2023,206266,new,treatment,0
05.03.2023,210209,old,control,0
05.03.2023,209689,new,control,0
05.03.2023,209899,old,control,0
05.03.2023,208265,old,control,0
05.03.2023,210431,new,control,0
05.03.2023,200208,new,treatment,0
05.03.2023,203784,old,treatment,0
05.03.2023,207681,old,control,0
05.03.2023,202065,old,control,0
05.03.2023,204238,old,treatment,0
05.03.2023,210277,old,control,0
05.03.2023,205522,old,treatment,0
05.03.2023,204855,old,control,0
05.03.2023,202554,old,treatment,0
05.03.2023,201171,old,control,0
05.03.2023,200654,new,treatment,0
05.03.2023,210104,old,treatment,0
05.03.2023,201890,new,treatment,0
05.03.2023,203742,old,treatment,0
05.03.2023,204350,old,treatment,0
05.03.2023,204001,new,control,0
05.03.2023,203570,new,treatment,0
05.03.2023,207201,old,control,0
05.03.2023,205324,old,treatment,0
05.03.2023,205305,new,control,0
05.03.2023,200199,old,control,0
05.03.2023,209922,old,treatment,0
05.03.2023,210043,new,control,0
05.03.2023,202130,new,treatment,0
05.03.2023,203941,new,control,0
05.03.2023,201373,old,control,0
05.03.2023,201937,old,control,0
05.03.2023,205604,old,treatment,0
05.03.2023,204331,old,control,0
05.03.2023,207704,new,treatment,1
05.03.2023,205748,old,treatment,0
05.03.2023,207869,old,control,1
05.03.2023,208007,old,control,0
05.03.2023,209203,old,control,0
05.03.2023,204126,new,treatment,0
05.03.2023,208774,new,treatment,0
05.03.2023,210040,new,treatment,0
05.03.2023,208829,new,control,1
05.03.2023,210010,new,treatment,0
05.03.2023,200752,old,treatment,0
05.03.2023,209485,new,control,0
05.03.2023,207514,new,treatment,0
05.03.2023,202048,old,treatment,1
05.03.2023,208038,new,treatment,0
05.03.2023,209788,old,treatment,0
05.03.2023,208099,new,control,0
05.03.2023,201085,new,control,0
05.03.2023,206481,new,control,0
05.03.2023,203009,old,control,0
05.03.2023,206308,new,treatment,0
05.03.2023,210846,new,treatment,0
05.03.2023,205439,new,control,0
05.03.2023,201556,old,treatment,0
05.03.2023,207085,old,control,0
05.03.2023,202278,new,treatment,0
05.03.2023,201372,new,treatment,0
05.03.2023,208387,old,control,1
05.03.2023,201840,old,treatment,0
05.03.2023,204858,new,treatment,0
05.03.2023,204883,old,control,0
05.03.2023,209135,new,control,0
05.03.2023,203717,old,control,1
05.03.2023,210128,old,treatment,0
05.03.2023,207379,old,control,0
05.03.2023,209156,new,treatment,0
05.03.2023,206617,old,control,1
05.03.2023,207320,old,treatment,0
05.03.2023,202657,old,control,0
05.03.2023,202329,old,control,0
05.03.2023,205519,old,control,0
05.03.2023,204060,new,treatment,0
05.03.2023,205719,new,control,0
05.03.2023,205464,old,treatment,0
05.03.2023,210149,old,control,0
05.03.2023,203308,old,treatment,0
05.03.2023,200850,old,treatment,0
05.03.2023,207390,old,treatment,0
05.03.2023,202636,old,treatment,0
05.03.2023,203044,new,treatment,0
05.03.2023,210755,new,control,0
05.03.2023,207810,old,treatment,0
05.03.2023,208928,old,treatment,0
05.03.2023,200476,old,treatment,0
05.03.2023,208319,old,control,0
05.03.2023,206169,new,control,0
05.03.2023,200718,old,treatment,0
05.03.2023,206676,old,treatment,0
05.03.2023,207483,new,control,0
05.03.2023,206783,new,control,0
05.03.2023,207346,old,treatment,0
